"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","1","Интернет-магазин Swag Labs","0","0","Покупка товаров","0"
"0","","0","Интернет-магазин Swag Labs","1","0","Корзина","0"
